t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779528561.472546,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.1188,1.4255999999999998,-0.1584,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.0,0.997921457876173
1779528561.4825456,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.4255999999999998,-0.2376,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.009998083114624023,0.997921457876173
1779528561.4926715,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.198,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.019997596740722656,0.997921457876173
1779528561.5025446,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.5048000000000001,-0.396,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,gaussian,-1,0.0,0.0,-1,1,0.030123472213745117,0.997921457876173
1779528561.5125444,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,-0.0792,1.584,-0.2376,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,gaussian,-1,0.0,0.0,-1,1,0.03999662399291992,0.997921457876173
1779528561.5226657,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.1188,1.5444,-0.2376,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.049996376037597656,0.997921457876173
1779528561.5325449,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.3464,-0.2376,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.06011772155761719,0.997921457876173
1779528561.5426712,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.4652,-0.27720000000000006,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,gaussian,-1,0.0,0.0,-1,1,0.06999683380126953,0.997921457876173
1779528561.552549,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,-0.1188,1.5048000000000001,-0.27720000000000006,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,gaussian,-1,0.0,0.0,-1,1,0.0801231861114502,0.997921457876173
1779528561.5625486,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.0792,1.4652,-0.3168,-0.035951863047065345,0.04220635396785781,0.028592990111725464,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,gaussian,-1,0.0,0.0,-1,1,0.09000086784362793,0.997921457876173
